created_at,sensor id,agv id,route id,ultrasonic_cm,distance to obstacle (cms),pir_detected,pir status,ir_detected,ir status,proximity alert (yes/no),collision warning (yes/no),robot position x,robot position y,speed (cm/sec),collision_risk_class,high_traffic_zone,obstacle_present,path_efficiency_score,navigation_action
2025-06-01 00:00:00,SENSOR_3,AGV_1,ROUTE_2,107.58,51.81,0,not detected,1,on,no,no,86.31,12.9,23.35,low,no,no,94.58,turn
2025-06-01 00:01:16,SENSOR_1,AGV_5,ROUTE_2,114.21,54.56,0,not detected,0,off,no,no,81.97,22.87,32.18,low,no,no,93.11,turn
2025-06-01 00:02:31,SENSOR_3,AGV_1,ROUTE_3,105.34,86.96,0,not detected,1,on,no,no,85.84,55.14,36.69,low,yes,no,77.04,turn
2025-06-01 00:03:47,SENSOR_3,AGV_5,ROUTE_1,142.92,77.87,1,detected,0,off,no,no,79.09,76.15,25.58,low,no,no,81.72,slow
2025-06-01 00:05:02,SENSOR_3,AGV_5,ROUTE_2,36.49685467,45.96,1,detected,0,off,yes,no,46.7,62.21,27.71,medium,no,no,92.89,slow
2025-06-01 00:06:18,SENSOR_1,AGV_2,ROUTE_1,120.99,59.26,0,not detected,0,off,no,no,58.21,82.74,24.08,low,no,no,90.93,slow
2025-06-01 00:07:34,SENSOR_3,AGV_4,ROUTE_3,158.14,76.29,0,not detected,0,off,no,no,48.23,17.35,32.32,low,no,no,83.25,turn
2025-06-01 00:08:49,SENSOR_1,AGV_4,ROUTE_2,87.33,50.41,0,not detected,0,off,no,no,47.7,46.46,33.54,low,no,yes,87.94,turn
2025-06-01 00:10:05,SENSOR_2,AGV_5,ROUTE_2,27.82585131,66.5,1,detected,0,off,yes,no,45.58,71.96,31.05,high,no,no,100,slow
2025-06-01 00:11:20,SENSOR_2,AGV_1,ROUTE_1,143.81,59.46,0,not detected,1,on,no,no,58.1,32.72,29.45,low,no,no,93.08,slow
2025-06-01 00:12:36,SENSOR_3,AGV_1,ROUTE_1,116.69,74.02,0,not detected,1,on,no,no,80.82,89.52,23.3,low,no,no,99.82,turn
2025-06-01 00:13:52,SENSOR_2,AGV_3,ROUTE_1,116.6,54.63,0,not detected,0,off,no,no,95.47,37.55,36.48,low,no,no,91.35,slow
2025-06-01 00:15:07,SENSOR_2,AGV_1,ROUTE_1,38.02,14.42,0,not detected,0,off,yes,no,63.45,67.78,34.91,medium,no,no,72.63,slow
2025-06-01 00:16:23,SENSOR_1,AGV_4,ROUTE_1,34.21,36.35,0,not detected,0,off,yes,no,32.32,97.41,28.18,medium,yes,no,79.33,slow
2025-06-01 00:17:38,SENSOR_3,AGV_4,ROUTE_2,128.35,73.19,0,not detected,0,off,no,no,81.25,96.88,22.88,low,no,yes,74.08,slow
